Company_name,Company_size,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title
gpac,201 to 500 Employees,https://media.glassdoor.com/sql/731572/gpac-squarelogo-1424761412590.png,Business Services,consultant,Full-time,"Bismarck, ND",$70K - $195K ,Executive Search Consultant
Talkspace,51 to 200 Employees,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,counselor,Full-time,"Bismarck, ND",$28K - $52K ,Counselor
Talkspace,51 to 200 Employees,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,psychologist,Full-time,"Bismarck, ND",$62K - $115K ,Counselor Psychologist
BioLife Plasma Services,1001 to 5000 Employees,https://media.glassdoor.com/sql/232481/biolife-plasma-services-squarelogo-1387224330987.png,Health Care,data center technician,Full-time,"Bismarck, ND",$34K - $71K ,Plasma Center Technician Hiring Event
"Prairie View Landscaping & Nursery, Inc.",N/A,,N/A,landscape architect,Full-time,"Bismarck, ND",,Landscape Design & Sales
Midnite Express,N/A,,N/A,owner operator,Full-time,"Bismarck, ND",,Class A CDL Truck Drivers - OTR Drivers & Owner Operators
Harlow's School Bus Service,N/A,,N/A,school bus driver,Part-time,"Bismarck, ND",,School Bus Driver
Talkspace,51 to 200 Employees,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Mental Health Counselor
Wendy's / COS,N/A,,N/A,restaurant manager,Full-time,"Bismarck, ND",,Restaurant Manager
hibu Inc,1001 to 5000 Employees,https://media.glassdoor.com/sql/7640/hibu-squarelogo-1541795936450.png,Business Services,outside sales representative,Full-time,"Bismarck, ND",,Outside Sales Representative - B2B
Fargo Glass and Paint,N/A,,N/A,auto glass technician,Full-time,"Bismarck, ND",,Commercial Glass Installer - Glazier
Altru Health System,N/A,,N/A,registered nurse,Part-time,"Bismarck, ND",,"Registered Nurse (RN) $10K-$15K sign-on bonus, Grand Forks, ND"
RDO Equipment Co.,1001 to 5000 Employees,https://media.glassdoor.com/sql/6447/rdo-equipment-squarelogo-1522702122680.png,"Construction, Repair & Maintenance",truck driver,Full-time,"Bismarck, ND",,Over The Road Truck Driver
Country Financial,1001 to 5000 Employees,https://media.glassdoor.com/sql/17480/country-financial-squarelogo-1605199598800.png,Insurance,insurance sales agent,Full-time,"Bismarck, ND",,Insurance Agent
Northwestern Mutual,5001 to 10000 Employees,https://media.glassdoor.com/sql/2919/northwestern-mutual-squarelogo-1505752677735.png,Finance,financial advisor,Full-time,"Bismarck, ND",,Financial Advisor
Confidential,N/A,,N/A,sales manager,Full-time,"Bismarck, ND",,Director of Sales
Super Kids Jr Academy,N/A,,N/A,other,Part-time,"Bismarck, ND",,Exciting opening for 3 Part Time Specialists to have fun with children!
Talkspace,51 to 200 Employees,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png,Health Care,mental health counselor,Full-time,"Bismarck, ND",$23K - $39K ,Independently Licensed Mental Health Counselor
Midco,1001 to 5000 Employees,https://media.glassdoor.com/sql/14415/midco-communications-squarelogo-1466096968660.png,Telecommunications,account executive,Full-time,"Bismarck, ND",$34K - $75K ,Advanced Advertising Account Executive
